n,full_graphset_size,linear_reduced_graphset_size,tree_reduced_graphset_size,linear_full_graphset_time_s,tree_full_graphset_time_s,linear_reduced_graphset_time_s,tree_reduced_graphset_time_s
3,8,4,6,0.0013190000008762581,0.0011497999985294882,0.0008850000012898818,0.000931700000364799
4,64,54,32,0.00796980000086478,0.008272499999293359,0.003668300001663738,0.00352039999961562
5,1024,1006,320,0.1081467000003613,0.19817040000089037,0.1803526999992755,0.046387599999434315
6,32768,32740,6144,3.1708097999999154,4.308920199999193,3.1497717999991437,0.8093251999998756
7,2097152,2097112,229376,231.37666329999956,316.85545490000004,232.94360659999984,34.593764100000044
