,n,|G(n)|,|LG(n)|,LG(n) Construction Time (s),|LH(n)|,LH(n) Construction Time (s),|TG(n)|,TG(n) Construction Time (s)
0,3,8,8.0,0.00014212517999112606,4.0,7.979199290275574e-05,8.0,0.00017829099670052528
1,4,64,64.0,0.000698374817147851,54.0,0.0006028329953551292,64.0,0.0012368748430162668
2,5,1024,1024.0,0.014656957937404513,1006.0,0.014472917187958956,1024.0,0.022784332977607846
3,6,32768,32768.0,0.6060727499425411,32740.0,0.6518196249380708,32768.0,0.9788587079383433
